facility_name,index,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude
boyle mccauley health centre,39,general,Hospitals,Public Health Agency of Canada,,10628,96 st,T0A0M0,edmonton,ab,10628 - 96 st. edmonton ab t0a 0m0,Edmonton,4811061,48,53.55136,-113.486
breton health centre,40,extended care,Hospitals,Public Health Agency of Canada,,4919,49 ave,T0C0P0,breton,ab,4919 - 49 ave. breton ab t0c 0p0,Breton,4811026,48,53.1092291,-114.4712943
brooks health centre,41,general,Hospitals,Public Health Agency of Canada,,440,3 st e,T1R1B3,brooks,ab,440 - 3rd st. e. brooks ab t1r 1b3,Brooks,4802034,48,50.5676564,-111.890977
calgary retina consultants,42,active acute hospital,Ambulatory health care services,Canadian Institute for Health Information,,,,T3E7M8,calgary,ab,,Calgary,,48,,
camrose community cancer centre,43,,Hospitals,Province of Alberta,,4607,53 street,T4V1Y5,camrose,ab,"4607 – 53 street camrose, alberta, t4v 1y5",Camrose,4810011,48,53.014198,-112.830093
canmore general hospital,44,general,Hospitals,Public Health Agency of Canada,,1100,hospital place,T1W1N2,canmore,ab,1100 hospital place canmore ab t1w 1n2,Canmore,4815023,48,51.09301,-115.350651
capitalcare — dickinsfield,45,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5E6C6,edmonton,ab,,Edmonton,,48,,
capitalcare — grandview,46,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T6H3V1,edmonton,ab,,Edmonton,,48,,
capitalcare — lynnwood,47,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5R2R8,edmonton,ab,,Edmonton,,48,,
capitalcare — norwood,48,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T5G3A2,edmonton,ab,,Edmonton,,48,,
capitalcare — strathcona,49,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8H1V3,sherwood park,ab,,,,48,,
capitalcare — the dianne and irving kipnes centre for veterans,50,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5E6M8,edmonton,ab,,Edmonton,,48,,
cardston health centre,51,general,Hospitals,Public Health Agency of Canada,,144,2 st w,T0K0K0,cardston,ab,144 - 2nd st. w. cardston ab t0k 0k0,Cardston,4803004,48,49.201947,-113.305761
carewest — colonel belcher,52,"active acute hospital, long term care",Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3B5Y8,calgary,ab,,Calgary,,48,,
carewest — dr. vernon fanning centre,53,"active acute hospital, long term care",Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2E6V7,calgary,ab,,Calgary,,48,,
carewest — garrison green,54,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3E6Z5,calgary,ab,,Calgary,,48,,
carewest — george boyack,55,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2E0A5,calgary,ab,,Calgary,,48,,
carewest — glenmore park,56,active acute hospital,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2V1P8,calgary,ab,,Calgary,,48,,
carewest — rouleau manor,57,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2S3C3,calgary,ab,,Calgary,,48,,
carewest — royal park,58,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3E7J8,calgary,ab,,Calgary,,48,,
carewest — sarcee,59,"active acute hospital, long term care",Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3E4T4,calgary,ab,,Calgary,,48,,
carewest — signal pointe,60,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3H4M3,calgary,ab,,Calgary,,48,,
centennial centre for mental health and brain injury,61,psychiatric,Hospitals,Public Health Agency of Canada,,,,T4J1R8,ponoka,ab,p.o. box 1000 ponoka ab t4j 1r8,Ponoka County,4808038,48,52.648905,-113.575936
central alberta cancer centre,62,,Hospitals,Province of Alberta,3942,50a,avenue,T4N4E7,red deer,ab,"3942-50a avenue, red deer, alberta, t4n 4e7",Red Deer,4808011,48,52.2606267,-113.8183868
central peace health complex,63,general,Hospitals,Public Health Agency of Canada,,5010,45 ave,T0H3G0,spirit river,ab,5010 - 45 ave. spirit river ab t0h 3g0,Spirit River,4819058,48,55.776981,-118.838754
chantelle management ltd. — edith cavell care centre,64,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1J0V6,lethbridge,ab,,Lethbridge,,48,,
chantelle management ltd. — grande prairie care centre,65,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8V3A2,grande prairie,ab,,Grande Prairie,,48,,
chinook regional hospital,66,general,Hospitals,Public Health Agency of Canada,,960,19 st s,T1J1W5,lethbridge,ab,960 - 19th st. s. lethbridge ab t1j 1w5,Lethbridge,4802012,48,49.68535,-112.8151851
claresholm centre for mental health and addictions,67,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0L0T0,claresholm,ab,,Claresholm,,48,,
claresholm general hospital,68,general,Hospitals,Public Health Agency of Canada,,221,43 ave w,T0L0T0,claresholm,ab,221 - 43 ave. w. claresholm ab t0l 0t0,Claresholm,4803022,48,50.018656,-113.582623
coaldale health centre,69,general,Hospitals,Public Health Agency of Canada,,2100,11 st,T1M1L2,coaldale,ab,2100 - 11 st. coaldale ab t1m 1l2,Coaldale,4802019,48,49.725825,-112.607294
cochrane community health centre,70,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T4C0S4,cochrane,ab,,Cochrane,,48,,
cold lake healthcare centre,71,general,Hospitals,Public Health Agency of Canada,,314,25 st,T9M1G6,cold lake,ab,314 - 25th st. cold lake ab t9m 1g6,Cold Lake,4812002,48,54.4658735,-110.199018
consort hospital,72,general,Hospitals,Public Health Agency of Canada,,5402,52 ave,T0C1B0,consort,ab,5402 - 52 ave. consort ab t0c 1b0,Consort,4804022,48,52.0098399,-110.7820183
consort hospital and care centre,73,,Hospitals,Province of Alberta,,5402,52 avenue,T0C1B0,consort,ab,"5402 – 52 avenue, consort, alberta, t0c 1b0",Consort,4804022,48,52.0120048,-110.7717888
contours oral surgery,74,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T6W2Z4,edmonton,ab,,Edmonton,,48,,
coronation hospital and care centre,75,,Hospitals,Province of Alberta,,5000,municipal road,T0C1C0,coronation,ab,"5000 municipal road, coronation, alberta, t0c 1c0",Coronation,4807012,48,52.0964213,-111.4597738
coronation hspital & care centre,76,general,Hospitals,Public Health Agency of Canada,,5000,municipal rd,T0C1C0,coronation,ab,5000 municipal rd. coronation ab t0c 1c0,Coronation,4807012,48,52.0962638,-111.459203
covenant care — foyer lacombe,77,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8N1K1,st albert,ab,,St. Albert,,48,,
covenant care — villa marie,78,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4P0S3,red deer,ab,,Red Deer,,48,,
covenant health bonnyville health centre,79,,Hospitals,Canadian Institute for Health Information,,5001,lakeshore drive,T9N1M5,bonnyville,ab,5001 lakeshore drive bonnyville ab t9n 1m5 canada,Bonnyville,4812009,48,54.263728,-110.739296
covenant health bonnyville healthcare centre,80,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T9N2J7,bonnyville,ab,,Bonnyville,,48,,
covenant health edmonton general continuing care centre,81,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T5K0L4,edmonton,ab,,Edmonton,,48,,
covenant health grey nuns community hospital,82,,Hospitals,Canadian Institute for Health Information,,1100,youville drive w,T6L5X8,edmonton,ab,1100 youville drive west edmonton ab t6l 5x8 canada,Edmonton,4811061,48,53.462682,-113.432304
covenant health killam health care centre,83,,Hospitals,Canadian Institute for Health Information,,5203,49 avenue,T0B2L0,killam,ab,5203 49 avenue killam ab t0b 2l0 canada,Killam,4807042,48,52.788935,-111.859551
covenant health mary immaculate care centre,84,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T0B3H0,mundare,ab,,Mundare,,48,,
covenant health mineral springs hospital,85,,Hospitals,Canadian Institute for Health Information,,305,lynx street,T1L1B8,banff,ab,305 lynx street banff ab t1l 1b8 canada,Banff,4815035,48,51.17925,-115.574865
covenant health misericordia community hospital,86,,Hospitals,Canadian Institute for Health Information,,16940,87 avenue,T5R4H5,edmonton,ab,16940 - 87th avenue edmonton ab t5r 4h5 canada,Edmonton,4811061,48,53.522149,-113.613021
covenant health our lady of the rosary hospital,87,general,Hospitals,Public Health Agency of Canada,,5402,47 st,T0C0X0,castor,ab,5402 - 47 st. castor ab t0c 0x0,Castor,4807014,48,52.2234403,-111.9068616
covenant health st. joseph's general hospital [ab],88,,Hospitals,Canadian Institute for Health Information,,5241,43 street,T9C1C6,vegreville,ab,5241 43 street vegreville ab t9c 1c6 canada,Vegreville,4810028,48,53.494418,-112.033619
covenant health st. joseph’s auxiliary hospital,89,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T6J6W1,edmonton,ab,,Edmonton,,48,,
covenant health st. mary's hospital [camrose],90,,Hospitals,Canadian Institute for Health Information,,4607,53 street,T4V1Y5,camrose,ab,4607 - 53rd street camrose ab t4v 1y5 canada,Camrose,4810011,48,53.013725,-112.830994
covenant health st. mary’s health care centre,91,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T0M2C0,trochu,ab,,Trochu,,48,,
covenant health st. michael’s health centre,92,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T1J4V5,lethbridge,ab,,Lethbridge,,48,,
covenant health villa caritas,93,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5R0A4,edmonton,ab,,Edmonton,,48,,
covenant health youville home,94,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8N1K1,st albert,ab,,St. Albert,,48,,
cross cancer institute,95,cancer,Hospitals,Public Health Agency of Canada,,11560,university ave,T6G1Z2,edmonton,ab,11560 university ave. edmonton ab t6g 1z2,Edmonton,4811061,48,53.5182625,-113.5310786
crowsnest pass health centre,96,general,Hospitals,Public Health Agency of Canada,,2001,107 st,T0K0E0,blairmore,ab,2001 - 107 st. blairmore ab t0k 0e0,Crowsnest Pass,4815007,48,49.6131739,-114.4736247
david b. climenhaga professional corporation,97,active acute hospital,Ambulatory health care services,Canadian Institute for Health Information,,,,T5J3S9,edmonton,ab,,Edmonton,,48,,
daysland health centre,98,general,Hospitals,Public Health Agency of Canada,,5920,51 ave,T0B1A0,daysland,ab,5920 - 51 ave. daysland ab t0b 1a0,Daysland,4807039,48,52.868425,-112.272521
dental service group,99,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5M0H4,edmonton,ab,,Edmonton,,48,,
devon general hospital,100,general,Hospitals,Public Health Agency of Canada,,101,erie st s,T9G1A6,devon,ab,101 erie st. s. devon ab t9g 1a6,Devon,4811018,48,53.351493,-113.730785
didsbury district health services,101,general,Hospitals,Public Health Agency of Canada,,1210,20 ave,T0M0W0,didsbury,ab,1210 - 20th ave. didsbury ab t0m 0w0,Didsbury,4806032,48,51.661795,-114.123674
dr. bryan murray professional corporation,102,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T1J2B9,lethbridge,ab,,Lethbridge,,48,,
dr. cooke extended care centre,103,,Nursing and residential care facilities,Saskatchewan Health Authorities,,3915,56 avenue,T9V1N9,lloydminster,ab,"3915 – 56 avenue lloydminster, ab t9v 1n9",Lloydminster (Part),4810039,48,53.273049,-110.019164
dr. w. r. keir - barrhead continuing care centre,104,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T7N1L2,barrhead,ab,,Barrhead,,48,,
drayton valley community cancer centre,105,,Hospitals,Province of Alberta,,4550,madsen avenue,T7A1N8,drayton valley,ab,"4550 madsen avenue, drayton valley, alberta, t7a 1n8",Drayton Valley,4811031,48,53.212021,-114.969841
drayton valley hospital & care centre,106,general,Hospitals,Public Health Agency of Canada,,4550,madsen ave,T7A1N8,drayton valley,ab,4550 madsen ave. drayton valley ab t7a 1n8,Drayton Valley,4811031,48,53.211841,-114.969193
drumheller community cancer centre,107,,Hospitals,Province of Alberta,,351,9 street nw,T0J0Y1,drumheller,ab,"351 – 9th street nw drumheller, alberta, t0j 0y1",Drumheller,4805026,48,51.470875,-112.745003
drumheller health centre,108,general,Hospitals,Public Health Agency of Canada,,351,9 st nw,T0J0Y1,drumheller,ab,351 - 9th st. n.w. drumheller ab t0j 0y1,Drumheller,4805026,48,51.4698073,-112.7259344
east edmonton health centre,109,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5B0C2,edmonton,ab,,Edmonton,,48,,
edmonton chinatown care centre,110,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5H0G2,edmonton,ab,,Edmonton,,48,,
edson healthcare centre,111,general,Hospitals,Public Health Agency of Canada,,4716,5 ave,T7E1S8,edson,ab,4716 - 5th ave. edson ab t7e 1s8,Edson,4814024,48,53.59182,-116.407
elk point healthcare centre,112,general,Hospitals,Public Health Agency of Canada,,5310,50 ave,T0A1A0,elk point,ab,5310 - 50 ave. elk point ab t0a 1a0,Elk Point,4812016,48,53.8969745,-110.9058049
extendicare — athabasca,113,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T9S1K4,athabasca,ab,,Athabasca,,48,,
extendicare — bonnyville,114,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T9N2E8,bonnyville,ab,,Bonnyville,,48,,
extendicare — cedars villa,115,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3C0E7,calgary,ab,,Calgary,,48,,
extendicare — eaux claires,116,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5Z0G7,edmonton,ab,,Edmonton,,48,,
extendicare — fort macleod,117,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0L0Z0,fort macleod,ab,,Fort Macleod,,48,,
extendicare — hillcrest,118,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2N1C1,calgary,ab,,Calgary,,48,,
extendicare — holyrood,119,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6C2T1,edmonton,ab,,Edmonton,,48,,
extendicare — leduc,120,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T9E6K6,leduc,ab,,Leduc,,48,,
extendicare — mayerthorpe,121,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0E1N0,mayerthorpe,ab,,Mayerthorpe,,48,,
extendicare — michener hill,122,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4P0M1,red deer,ab,,Red Deer,,48,,
extendicare — st paul,123,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0A3A0,st paul,ab,,St. Paul,,48,,
extendicare — viking,124,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0B4N0,viking,ab,,Viking,,48,,
extendicare — vulcan,125,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0L2B0,vulcan,ab,,Vulcan,,48,,
eye q premium laser,126,active acute hospital,Ambulatory health care services,Canadian Institute for Health Information,,,,T5N1R8,edmonton,ab,,Edmonton,,48,,
fairview health complex,127,general,Hospitals,Public Health Agency of Canada,,10628,110 st,T0H1L0,fairview,ab,10628 - 110 st. fairview ab t0h 1l0,Fairview,4819068,48,56.0709656,-118.3845521
father lacombe care society — father lacombe care centre,128,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2X2A3,calgary,ab,,Calgary,,48,,
father lacombe care society — providence care centre,129,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2X0X2,calgary,ab,,Calgary,,48,,
foothills medical centre,130,general,Hospitals,Public Health Agency of Canada,,1403,29 st nw,T2N2T9,calgary,ab,1403 - 29th st. n.w. calgary ab t2n 2t9,Calgary,4806016,48,51.0642833,-114.1339478
fort macleod health centre,131,general,Hospitals,Public Health Agency of Canada,,744,26 st s,T0L0Z0,fort macleod,ab,"744 - 26th st., s. fort macleod ab t0l 0z0",Fort Macleod,4803019,48,49.726332,-113.3932472
fort mcmurray community cancer centre,132,,Hospitals,Province of Alberta,,7,hospital street,T9H1P2,fort mcmurray,ab,"7 hospital street fort mcmurray, alberta t9h 1p2",Wood Buffalo,4816037,48,56.7176831,-111.3618006
fort saskatchewan community hospital,133,,Hospitals,Province of Alberta,,9401,86 avenue,T8L0C6,fort saskatchewan,ab,"9401 – 86 avenue, fort saskatchewan, alberta, t8l 0c6",Fort Saskatchewan,4811056,48,53.693159,-113.213229
fort saskatchewan health centre,134,general,Hospitals,Public Health Agency of Canada,,9430,95 st,T8L1R8,fort saskatchewan,ab,9430 - 95th st. fort saskatchewan ab t8l 1r8,Fort Saskatchewan,4811056,48,53.7033208,-113.2225242
foundation oral surgery,135,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2R0H6,calgary,ab,,Calgary,,48,,
fox creek health care centre,136,general,Hospitals,Public Health Agency of Canada,,600,third st,T0H1P0,fox creek,ab,600 third st. fox creek ab t0h 1p0,Fox Creek,4818002,48,54.4046429,-116.801403
galahad care centre,137,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0B1R0,galahad,ab,,,,48,,
george mcdougall - smoky lake healthcare centre,138,,Ambulatory health care services,Province of Alberta,,4212,55 avenue,T0A3C0,smoky lake,ab,"4212 - 55 avenue, smoky lake, alberta, t0a 3c0",Smoky Lake,4812029,48,54.12128065,-112.4652356
gimbel eye centre - calgary,139,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T3A2N1,calgary,ab,,Calgary,,48,,
gimbel eye surgical centre - edmonton,140,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5G0E5,edmonton,ab,,Edmonton,,48,,
glenrose rehabilitation hospital,141,rehabilitation,Nursing and residential care facilities,Public Health Agency of Canada,,10230,111 ave,T5G0B7,edmonton,ab,10230 - 111th ave. edmonton ab t5g 0b7,Edmonton,4811061,48,53.5601013,-113.4976534
grande cache community health complex,142,general,Hospitals,Public Health Agency of Canada,,10200,shand ave,T0E0Y0,grande cache,ab,10200 shand ave. grande cache ab t0e 0y0,Grande Cache,4818005,48,53.8915173,-119.1192184
grande prairie cancer centre,143,,Hospitals,Province of Alberta,,,10409-98 street,T8V2E8,grande prairie,ab,"10409-98 street, grande prairie, alberta, t8v 2e8",Grande Prairie,4819012,48,55.175391,-118.788449
grey nuns community hospital,144,general,Hospitals,Public Health Agency of Canada,,1100,youville dr w,T6L5X8,edmonton,ab,1100 youville dr. w. edmonton ab t6l 5x8,Edmonton,4811061,48,53.4615831,-113.4297243
grimshaw / berwyn and district community health centre,145,,Ambulatory health care services,Province of Alberta,,5621,wilcox road,T0H1W0,grimshaw,ab,"5621 wilcox road, grimshaw, alberta, t0h 1w0",Grimshaw,4819074,48,56.190432,-117.627213
grimshaw berwyn community health centre,146,general,Hospitals,Public Health Agency of Canada,,5621,wilcox rd,T0H1W0,grimshaw,ab,5621 wilcox rd. grimshaw ab t0h 1w0,Grimshaw,4819074,48,56.190388,-117.62725
groat oral and maxillofacial surgery,147,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5M3J9,edmonton,ab,,Edmonton,,48,,
groot dermasurgery centre,148,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5N4B2,edmonton,ab,,Edmonton,,48,,
hall dental centre,149,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T1H0M4,lethbridge,ab,,Lethbridge,,48,,
hanna health centre,150,general,Hospitals,Public Health Agency of Canada,,904,centre st n,T0J1P0,hanna,ab,904 centre st. n. hanna ab t0j 1p0,Hanna,4804011,48,51.6489192,-111.9282036
hardisty health centre,151,general,Hospitals,Public Health Agency of Canada,,4531,47 st,T0B1V0,hardisty,ab,4531 - 47 st. hardisty ab t0b 1v0,Hardisty,,48,52.669316,111.307616
hbot clinics,152,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T2V4R6,calgary,ab,,Calgary,,48,,
high prairie health complex,153,general,Hospitals,Public Health Agency of Canada,,4620,53 ave,T0G1E0,high prairie,ab,4620 - 53rd ave. high prairie ab t0g 1e0,High Prairie,,48,55.431645,116.454926
high river community cancer centre,154,,Hospitals,Province of Alberta,,560,9 avenue w,T1V1B3,high river,ab,"560 9 avenue w high river, alberta t1v 1b3",High River,4806006,48,50.575135,-113.879344
high river general hospital,155,general,Hospitals,Public Health Agency of Canada,,560,9 ave w,T1V1B3,high river,ab,560 - 9th ave. w. high river ab t1v 1b3,High River,4806006,48,50.5751035,-113.8799478
hinton community cancer centre,156,,Hospitals,Province of Alberta,,1280,switzer drive,T7V1V2,hinton,ab,"1280 switzer drive hinton, alberta, t7v 1v2",Hinton,4814019,48,53.397391,-117.586038
hinton healthcare centre,157,general,Hospitals,Public Health Agency of Canada,,1280,switzer dr,T7V1V2,hinton,ab,1280 switzer dr. hinton ab t7v 1v2,Hinton,4814019,48,53.398281,-117.58529
holy cross surgical services,158,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2S3C3,calgary,ab,,Calgary,,48,,
hythe continuing care centre,159,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0H2C0,hythe,ab,,Hythe,,48,,
