"Index","Facility_Name","Source_Facility_Type","ODCAF_Facility_Type","Provider","Unit","Street_No","Street_Name","Postal_Code","City","Prov_Terr","Source_Format_Address","CSD_Name","CSDUID","PRUID","Latitude","Longitude"
1,"#hashtag gallery",,"gallery","toronto",,801,"dundas st w","m6j1v2","toronto","on","801 dundas st w","Toronto","3520005","35",43.65169472,-79.40803272
2,"'ksan historical village & museum","historic site-building or park","museum","canadian museums association",,1500,"62 hwy","v0j1y0","hazelton","bc","1500 hwy 62 hazelton british columbia v0j 1y0 canada","Hazelton","5949022","59",55.2645508,-127.6428124
3,"'school days' museum","community/regional museum","museum","canadian museums association",,427,"queen st","e3b5r6","fredericton","nb","427 queen st fredericton new brunswick e3b 5r6 canada","Fredericton","1310032","13",45.963283,-66.6419017
4,"10 austin street","built heritage properties","heritage or historic site","moncton",,10,"austin st","e1c1z6","moncton","nb","10 austin st","Moncton","1307022","13",46.09247776,-64.78022946
5,"10 gates dancing inc.","arts","miscellaneous","ottawa",,,,,"ottawa","on",,"Ottawa","3506008","35",45.40856224,-75.71536766
6,"100 mile house branch","cariboo regional district library system","library or archives","government of british columbia",,449,"birch avenue s","v0k2e0","pender island","bc","449 s. birch avenue","One Hundred Mile House","5941005","59",51.64139,-121.29562
8,"114 alma st.","built heritage properties","heritage or historic site","moncton",,114,"alma st",,"moncton","nb","114 alma st","Moncton","1307022","13",46.09186844,-64.77860387
9,"118 mountain road","built heritage properties","heritage or historic site","moncton",,118,"mountain rd","e1c2k7","moncton","nb","118 mountain rd","Moncton","1307022","13",46.09448386,-64.77990581
10,"12 service battalion museum","military museum or fort","museum","canadian museums association",,5500,"no 4 rd","v6x3l5","richmond","bc","5500 no. 4 rd the sherman armoury richmond british columbia v6x 3l5 canada","Richmond","5915015","59",49.1763542,-123.112783
11,"134 church street","built heritage properties","heritage or historic site","moncton",,134,"church st","e1c4z6","moncton","nb","134 church st","Moncton","1307022","13",46.09253232,-64.77997633
12,"14 church street","built heritage properties","heritage or historic site","moncton",,14,"church st",,"moncton","nb","14 church st","Moncton","1307022","13",46.08876763,-64.77824948
13,"140 church street","built heritage properties","heritage or historic site","moncton",,140,"church st","e1c4z7","moncton","nb","140 church st","Moncton","1307022","13",46.09283005,-64.78014878
14,"149 john street","built heritage properties","heritage or historic site","moncton",,149,"john st","e1c2h5","moncton","nb","149 john st","Moncton","1307022","13",46.09346338,-64.79230349
15,"15th field artillery regiment museum and archives","museum/gallery","museum","vancouver",,2025,"11th av w","v6j2c7","vancouver","bc","2025 w 11th av vancouver bc v6j 2c7","Vancouver","5915022","59",49.261938,-123.151123
17,"169 botsford street","built heritage properties","heritage or historic site","moncton",,169,"botsford st","e1c4x4","moncton","nb","169 botsford st","Moncton","1307022","13",46.09388049,-64.77768348
18,"17 wing heritage collection","aeronautics and space museum transportation museum","museum","canadian museums association",,,,"r3j3y5","winnipeg","mb","air heritage park air force way winnipeg manitoba r3j 3y5 canada","Winnipeg","4611040","46",49.88955855,-97.23574396
19,"1810 carter house","historic site-building or park","heritage or historic site","canadian museums association",,874,"kingston route","e5n1r7","kingston","nb","874 route 845 kingston new brunswick e5n 1r7 canada","Kingston","1305014","13",45.3951606,-66.0684098
20,"1916 city hall façade","built heritage properties","heritage or historic site","moncton",,20,"mountain rd",,"moncton","nb","20 mountain rd","Moncton","1307022","13",46.093938,-64.77467849
21,"2 for art","non-commercial art museums and galleries","museum","mississauga",,177,"lakeshore rd e","l5g4t9","mississauga","on","177 lakeshore rd e","Mississauga","3521005","35",43.55602758,-79.58047695
22,"2 of 2 gallery, pari nadimi gallery",,"gallery","toronto",,254,"niagara st","m6j2l8","toronto","on","254 niagara st","Toronto","3520005","35",43.64500353,-79.4090195
23,"201 queen street","built heritage properties","heritage or historic site","moncton",,201,"queen st","e1c1l3","moncton","nb","201 queen st","Moncton","1307022","13",46.08907927,-64.78186587
24,"221a artist run centre","museum/gallery","museum","vancouver",,221,"georgia st e","v6a1z6","vancouver","bc","221 e georgia st vancouver bc v6a 1z6","Vancouver","5915022","59",49.278786,-123.098796
25,"224 cameron street","built heritage properties","heritage or historic site","moncton",,224,"cameron st","e1c5z3","moncton","nb","224 cameron st","Moncton","1307022","13",46.09209779,-64.79058461
26,"264 botsford street","built heritage properties","heritage or historic site","moncton",,264,"botsford st",,"moncton","nb","264 botsford st","Moncton","1307022","13",46.0969501,-64.77766022
27,"26th field artillery regiment 12th manitoba dragoons rca museum","military museum or fort","museum","canadian museums association",,1116,"victoria ave","r7a1b2","brandon","mb","1116 victoria ave brandon manitoba r7a 1b2 canada","Brandon","4607062","46",49.842132,-99.9391497
28,"27 hillcrest drive","built heritage properties","heritage or historic site","moncton",,27,"hillcrest dr","e1e1v9","moncton","nb","27 hillcrest dr","Moncton","1307022","13",46.08380106,-64.79575819
29,"31 service battalion",,"miscellaneous","canadian museums association",,650,"catherine st n","l8l4v7","hamilton","on","650 catherine st. n. hamilton on l8l 4v7","Hamilton","3525005","35",43.274678,-79.855634
30,"337 sketch gallery",,"gallery","hamilton",,337,"ottawa st n","l8h3z8","hamilton","on","337 ottawa st n, hamilton, on l8h 3z8","Hamilton","3525005","35",43.251424,-79.816402
31,"42nd field regiment lanark & renfrew (1st air defence regiment) scottish rca regimental museum",,"museum","canadian museums association",,177,"victoria st","k8a4k2","pembroke","on","177 victoria st pembroke on k8a 4k2","Pembroke","3547064","35",45.8268694,-77.1134778
32,"47 fleet street","built heritage properties","heritage or historic site","moncton",,47,"fleet st","e1c1s1","moncton","nb","47 fleet st","Moncton","1307022","13",46.09006201,-64.78490829
33,"48th highlanders museum","historical society military museum or fort","museum","canadian museums association",,73,"simcoe street","m5j1w9","toronto","on","73 simcoe street toronto ontario m5j 1w9 canada","Toronto","3520005","35",43.6471644,-79.38556364
34,"5(bc) regiment rca museum and archives",,"museum","canadian museums association",304,715,"bay street","v8t1r1","victoria","bc","715 bay st bay street armoury room 304 victoria british columbia v8t 1r1 canada","Victoria","5917034","59",,
35,"5-11 williams street","built heritage properties","heritage or historic site","moncton",,11,"williams st","e1c2g1","moncton","nb","11 williams st","Moncton","1307022","13",46.09414921,-64.78519446
36,"50 centuries cultures society inc",,"miscellaneous","canadian museums association",84,92,"michael's drive","a0k1l0","bird cove","nl","84-92 michael's drive bird cove newfoundland & labrador a0k 1l0 canada","Bird Cove","1009026","10",,
37,"69 highfield street","built heritage properties","heritage or historic site","moncton",,69,"highfield st","e1c5n4","moncton","nb","69 highfield st","Moncton","1307022","13",46.08887003,-64.78480708
38,"70 reade street","built heritage properties","heritage or historic site","moncton",,70,"reade st","e1c6s2","moncton","nb","70 reade st","Moncton","1307022","13",46.1007607,-64.80063191
39,"72 botsford street","built heritage properties","heritage or historic site","moncton",,72,"botsford st","e1c4x1","moncton","nb","72 botsford st","Moncton","1307022","13",46.09087808,-64.77695599
40,"73 highfield street","built heritage properties","heritage or historic site","moncton",,73,"highfield st","e1c5n4","moncton","nb","73 highfield st","Moncton","1307022","13",46.08895397,-64.78482417
41,"7302754 canada inc","artist making fine art and exhibiting in galleries","gallery","burnaby",,6909,"mckay av",,"burnaby","bc","6909 mckay av","Burnaby","5915025","59",49.2210003,-123.0091848
42,"75 st. george street","built heritage properties","heritage or historic site","moncton",,75,"george st","e1c1t5","moncton","nb","75 st george st","Moncton","1307022","13",46.09289476,-64.77561797
43,"86 botsford street","built heritage properties","heritage or historic site","moncton",,86,"botsford st","e1c4x3","moncton","nb","86 botsford st","Moncton","1307022","13",46.09139359,-64.77725037
44,"86 weldon street","built heritage properties","heritage or historic site","moncton",,86,"weldon st","e1c5w2","moncton","nb","86 weldon st","Moncton","1307022","13",46.08830065,-64.78745899
45,"88 church street","built heritage properties","heritage or historic site","moncton",,88,"church st","e1c4z5","moncton","nb","88 church st","Moncton","1307022","13",46.09103641,-64.77958106
47,"8th hussars museum",,"museum","canadian museums association",3,66,"broad st","e4e5s2","sussex","nb","66 broad st -unit 3 sussex new brunswick e4e 5s2 canada","Sussex","1305022","13",,
49,"91 steadman street","built heritage properties","heritage or historic site","moncton",,91,"steadman st","e1c4p5","moncton","nb","91 steadman st","Moncton","1307022","13",46.0928285,-64.77292773
50,"9th line baptist church","museum","museum","markham",,9350,"markham rd",,"markham","on","9350 markham rd","Markham","3519036","35",43.89380235,-79.26684341
51,"ès trad - living heritage center","art gallery","gallery","province of québec",,5,"rue cul de sac","g1k4h6","québec","qc","5, rue cul-de-sac","Québec","2423027","24",46.812477,-71.202943
53,"école de ballet de saint-hubert",,"theatre/performance and concert hall","longueuil",,,,"j3y9a9","longueuil","qc","cp 29535 carrefour saint-hubert , saint-hubert, j3y9a9","Longueuil","2458227","24",,
54,"école de design industriel de la faculté de l'aménagement de l'université de montréal",,"miscellaneous","canadian museums association",,2940,"chemin côte sainte-catherine","h3t1b9","montréal","qc","pavillon de la faculté de l'aménagement université de montréal 2940 chemin côte sainte-catherine montréal québec h3t 1b9 canada","Montréal","2466023","24",,
55,"école du rang ii d'authier","community/regional museum historic site-building or park","museum","canadian museums association",,269,"rang ii","j0z1c0","authier","qc","269 rang ii (route 111 authier) authier québec j0z 1c0 canada","Authier","2487050","24",,
56,"écomusée d'anticosti","community/regional museum","museum","canadian museums association",,1,"rue du-couvent","g0g2y0","port menier","qc","1 rue du couvent port-menier québec g0g 2y0 canada","L'Île-d'Anticosti","2498020","24",49.8187405,-64.3521419
57,"écomusée de hearst ecomuseum",,"museum","canadian museums association",,631,"front street","p0l1n0","hearst","on","631 front street hearst ontario p0l 1n0 canada","Hearst","3556076","35",49.6888667,-83.6595109
58,"écomusée de la mi-carême","museum / historic site","museum","province of québec",4,2,"ch ernest","g4t2w5","les-îles-de-la madeleine","qc","04-2, ch. ernest","Les Îles-de-la-Madeleine","2401023","24",47.403476,-61.899131
61,"écomusée du fier monde",,"museum","province of québec",,2050,"rue amherst","h2l3l8","montréal","qc","2050, rue amherst","Montréal","2466023","24",45.520179,-73.563753
62,"économusée","museum and art galleries","museum","ottawa",,,,,"gatineau","on",,"Gatineau","2481017","24",45.42987036,-75.72678606
63,"église évangélique arménienne","église","miscellaneous","montréal",,11455,"rue drouart","h3m2s6","montréal","qc","11455, rue drouart","Montréal","2466023","24",45.5363408,-73.6873676
64,"église de la purification-de-la-bienheureuse-vierge-marie","arts, lettres et culture","miscellaneous","repentigny",,445,"rue notre-dame",,"repentigny","qc","445 rue notre-dame, repentigny","Repentigny","2460013","24",45.73907497,-73.44713199
66,"église de la visitation-de-la-bienheureuse-vierge-marie","église","miscellaneous","montréal",,1847,"boulevard gouin est","h2c1c8","montréal","qc","1847, boulevard gouin est","Montréal","2466023","24",45.570398,-73.6603942
67,"église de sainte-geneviève de berthier","historic site-building or park religious museum","museum","canadian museums association",,780,"rue montcalm","j0k1a0","berthierville","qc","780 rue montcalm berthierville québec j0k 1a0 canada","Berthierville","2452035","24",46.0811004,-73.17849063
68,"église historique de barachois","art gallery community/regional museum historic site-building or park","museum","canadian museums association",,1350,"133 route","e4p8g7","grand barachois","nb","1350 route 133 grand-barachois new brunswick e4p 8g7 canada",,,"13",,
69,"église jean xxiii","église","miscellaneous","montréal",,7101,"de-l'alsace avenue","h1j2k5","montréal","qc","7101, avenue de l'alsace","Montréal","2466023","24",45.6044108,-73.5821982
70,"église marie-reine-de-la-paix","église","miscellaneous","montréal",,11075,"boulevard gouin ouest","h8y1x6","montréal","qc","11075, boulevard gouin ouest","Montréal","2466023","24",45.5109589,-73.8141179
72,"église notre-dame-des-champs","arts, lettres et culture","miscellaneous","repentigny",,187,"boulevard iberville",,"repentigny","qc","187 boulevard iberville, repentigny","Repentigny","2460013","24",45.72113471,-73.47029554
73,"église notre-dame-des-sept-douleurs","église","miscellaneous","montréal",,4155,"rue wellington","h4g1v8","montréal","qc","4155, rue wellington","Montréal","2466023","24",45.4627187,-73.5670442
75,"église précieux-sang","arts, lettres et culture","miscellaneous","repentigny",,115,"rue chauveau",,"repentigny","qc","115 rue chauveau, repentigny","Repentigny","2460013","24",45.75887707,-73.43955207
76,"église saint-james the apostle","église","miscellaneous","montréal",,1439,"rue sainte-catherine ouest","h3g1s6","montréal","qc","1439, rue sainte-catherine ouest","Montréal","2466023","24",45.4965271,-73.57641
77,"église saint-joseph","église","miscellaneous","montréal",,10050,"boulevard gouin est","h1c1a8","montréal","qc","10050, boulevard gouin est","Montréal","2466023","24",45.6631723,-73.5620972
78,"église saint-paul-l'ermite","arts, lettres et culture","miscellaneous","repentigny",,377,"rue du-village",,"repentigny","qc","377 rue du village, repentigny","Repentigny","2460013","24",45.75118581,-73.47078315
79,"église saint-rené-goupil","église","miscellaneous","montréal",,4251,"rue du-parc","h1z1x8","montréal","qc","4251, rue du parc-rené-goupil","Montréal","2466023","24",45.5779577,-73.6117604
81,"île-des-moulins",,"miscellaneous","province of québec",,900,"de-l'île-des-moulilns place","j6w4n7","terrebonne","qc","900, place de l'île-des-moulilns","Terrebonne","2464008","24",45.692078,-73.635441
82,"électrium, hydro-québec's electricity interpretation centre",,"art or cultural centre","province of québec",,2001,"rue michael","j3x1y2","sainte-julie","qc","2001, rue michael-faraday","Sainte-Julie","2459010","24",45.605873,-73.378437
83,"érablière du lac-beauport / musée des animaux du québec","sugar shack","museum","province of québec",,200,"ch des-lacs","g3b1c4","lac- beauport","qc","200, ch. des lacs","Lac-Beauport","2422040","24",46.976427,-71.288692
84,"érico - creative chocolate factory and chocolate museum","industrial tour","museum","province of québec",,634,"rue st-jean","g1r1p8","québec","qc","634, rue st-jean","Québec","2423027","24",46.810448,-71.219443
85,"a company of fools theatre inc.","arts","theatre/performance and concert hall","ottawa",,,,,"ottawa","on",,"Ottawa","3506008","35",45.40425735,-75.7123624
87,"a space gallery",,"gallery","toronto",,401,"richmond st w","m5v3a8","toronto","on","401 richmond st w","Toronto","3520005","35",43.64775543,-79.39474843
89,"a.c. davie shipyard national historical site","museum / historic site","museum","province of québec",,6210,"rue st-laurent","g6v3p4","lévis","qc","6210, rue st-laurent","Lévis","2425213","24",46.814275,-71.184629
91,"a.c. hunter public library",,"library or archives","government of newfoundland and labrador",,,,,,"nl",,"St. John's","1001519","10",47.57573164,-52.72961637
92,"a2d2 inc. - aerial dance cirque company","live theatres and other performing arts presenters with facilities","theatre/performance and concert hall","mississauga",,1095,"strathy ave","l5e2k1","mississauga","on","1095 strathy ave","Mississauga","3521005","35",43.5802269,-79.56019352
93,"aanischaaukamikw cree cultural institute","exhibition or cultural centre historical society keeping house or native culture centre","art or cultural centre","canadian museums association",,205,"opemiska meskino","g0w3c0","bougoumou","qc","205 opemiska meskino ouje-bougoumou québec g0w 3c0 canada","Oujé-Bougoumou","2499818","24",49.9240065,-74.8206599
94,"abbey branch library",,"library or archives","saskatchewan",,336,"cathedral avenue","s0n0a0","abbey","sk","336 cathedral avenue","Abbey","4708048","47",50.7345631,-108.7576907
95,"abbotsford community library","fraser valley regional library","library or archives","government of british columbia",,33660,"fraser way south","v2s2b9","nelson","bc","33660 south fraser way","Abbotsford","5909052","59",49.055028,-122.328655
96,"abbottsfield - penny mckee",,"library or archives","edmonton",,3410,"118 avenue","t5w0z4","edmonton","ab","3410 - 118 avenue","Edmonton","4811061","48",53.5704509,-113.3915179
97,"abc heritage preschool and child care","preschool and out of school care","heritage or historic site","township of langley",,7949,"208 st",,"township of langley","bc",,"Langley","5915001","59",49.14709735,-122.6467963
99,"aberdeen branch library",,"library or archives","saskatchewan",,201,"thompson st","s0k0a0","aberdeen","sk","201 thompson st","Herbert","4707026","47",50.4290451,-107.2233777
100,"aberdeen cultural centre","cultural centre","art or cultural centre","moncton",,130,"botsford st","e1c4x5","moncton","nb","130 botsford st","Moncton","1307022","13",46.09320862,-64.77800739
102,"abernethy book deposit",,"library or archives","saskatchewan",,,,"s0a0a0","abernethy","sk",,"Abernethy","4706046","47",,
103,"abernethy nature-heritage museum","community/regional museum interpretation centre","museum","canadian museums association",,,"main street","s0a0a0","abernethy","sk","main street abernethy saskatchewan s0a 0a0 canada","Watson","4710062","47",52.12904245,-104.5240359
104,"abitibi-témiscamingue emerging music festival","festival / special event","festival site","province of québec",,167,"murdoch avenue","j9x1e3","rouyn noranda","qc","167, avenue murdoch","Rouyn-Noranda","2486042","24",48.246727,-79.016883
105,"aboyne branch library",,"library or archives","regional municipality of waterloo",,552,"wellington road 18",,"waterloo","on","552 wellington road 18","Centre Wellington","3523025","35",43.69141873,-80.3947255
106,"acadia municipal library",,"library or archives","government of alberta",,,,"t0j0a0","slave lake","ab","box 6","Slave Lake","4817029","48",,
108,"acadia university archives and special collections","library and/or archives human history-archaelogy-anthropology or ethnology","library or archives","canadian museums association",,,,"b4p2r6","wolfville","ns","kirkconnell reading room vaughan memorial lirary wolfville nova scotia b4p 2r6 canada","Wolfville","1207024","12",,
109,"acadia university art gallery","art gallery","gallery","canadian museums association",,10,"highland avenue","b4p2r6","wolfville","ns","10 highland avenue wolfville nova scotia b4p 2r6 canada","Wolfville","1207024","12",45.09017265,-64.36463818
110,"acadian house museum","exhibition or cultural centre historical society","museum","canadian museums association",,79,"hill rd west","b0j1n0","chezzetcook","ns","79 hill rd west chezzetcook nova scotia b0j 1n0 canada","Halifax","1209034","12",44.7065995,-63.26166053
111,"acadian museum","museum / historic","museum","moncton",,405,"universite ave","e1a3e9","moncton","nb","405 universite ave","Moncton","1307022","13",46.10393465,-64.78543341
112,"acadian museum of prince edward island the","community/regional museum","museum","canadian museums association",,23,"main drive east","c0b1t0","miscouche","pe","23 main drive east miscouche prince edward island c0b 1t0 canada","Miscouche","1103024","11",,
113,"acadian village of nova scotia",,"miscellaneous","province of nova scotia",,19,"old church road","b0w2c0","pubnico","ns","19 old church road","Argyle","1202001","12",43.63640148,-65.79750628
114,"acadie rock","multicultural festivals and events","festival site","moncton",,120,"assomption blvd","e1c0r9","moncton","nb","120 assomption blvd","Moncton","1307022","13",46.08673523,-64.77462409
115,"accessible services","vancouver public library","library or archives","government of british columbia",,345,"robson st","v6b6b3","nanaimo","bc","345 robson st","Vancouver","5915022","59",49.279222,-123.11624
116,"aceartinc.","art gallery","gallery","canadian museums association",,290,"mcdermot ave","r3b0t2","winnipeg","mb","290 mcdermot ave 2nd floor winnipeg manitoba r3b 0t2 canada","Winnipeg","4611040","46",,
117,"acme municipal library",,"library or archives","government of alberta",,610,"walsh avenue","t0m0a0","acme","ab","610 walsh avenue","Acme","4805044","48",51.4949879,-113.5128874
118,"acoustic harvest folk club","creative","miscellaneous","toronto",,1512,"kingston road",,"toronto","on","1512 kingston road","Toronto","3520005","35",43.68957509,-79.2691792
119,"acoustica concert series","music festivals and events","festival site","moncton",,175,"park st","e1c2c1","moncton","nb","175 park st","Moncton","1307022","13",46.091443,-64.78932657
120,"acoustica concert series","music festivals and events","festival site","moncton",,120,"westmorland st","e1c0r9","moncton","nb","120 westmorland st","Moncton","1307022","13",46.08752138,-64.77832795
121,"adamason estate main house","heritage properties","heritage or historic site","mississauga",,850,"enola",,"mississauga","on",,"Mississauga","3521005","35",43.56198524,-79.56793341
122,"adams & kennedy - the wood source","heritage trades","heritage or historic site","ottawa",,6178,"mitch road",,"ottawa","on","6178 mitch owens road","Ottawa","3506008","35",45.255888,-75.620936
123,"adamsons heritage nursery ltd","nursery","heritage or historic site","township of langley",,1832,"240 st",,"township of langley","bc",,"Langley","5915001","59",49.0347018,-122.5538744
124,"addington highlands twp",,"library or archives","government of ontario",,3641,"flinton rd","k0h1p0","flinton","on","3641 flinton rd.","Tweed","3512030","35",44.6397483,-77.2510114
125,"adelaide hunter hoodless homestead","exhibition or cultural centre historic site-building or park","art or cultural centre","canadian museums association",,359,"blue rd","n0e1n0","st-george","on","359 blue lake rd st. george ontario n0e 1n0 canada","Brant","3529005","35",43.2371236,-80.29698563
126,"adjala-tosorontiotwp",,"library or archives","government of ontario",,7855,"sideroad 30 rr 1","l9r1v1","alliston","on","7855 sideroad 30 r.r. #1","Adjala-Tosorontio","3543003","35",44.13177573,-79.90711576
127,"admaston/bromley twp",,"library or archives","government of ontario",,5346,"highway 60","k0j1s0","douglas","on","5346 highway 60","Admaston/Bromley","3547043","35",45.51448545,-76.94482874
128,"administrative centre","fraser valley regional library","library or archives","government of british columbia",,34589,"delair rd","v2s5y1","abbotsford","bc","34589 delair rd","Abbotsford","5909052","59",49.036617,-122.266378
129,"admiral corner library",,"library or archives","saskatchewan",,,,"s0n0b0","admiral","sk",,,,"47",,
130,"admiral digby museum","community/regional museum","museum","canadian museums association",,95,"montague row","b0v1a0","digby","ns","95 montague row digby nova scotia b0v 1a0 canada","Digby","1203006","12",44.61992796,-65.75478854
131,"admiralty house communications museum and archives","library and/or archives children's museum historic site-building or park","museum","canadian museums association",,365,"old placentia rd","a1n0g7","mount pearl","nl","365 old placentia rd mount pearl newfoundland & labrador a1n 0g7 canada","Mount Pearl","1001542","10",47.5024588,-52.7980851
132,"advocate harbour library","branch","library or archives","government of nova scotia",,93,"mills road","b0m1a0","advocate harbour","ns","93 mills road","Cumberland, Subd. A","1211001","12",45.337283,-64.775302
134,"aerospace heritage foundation of canada","aeronautics and space museum","museum","canadian museums association",,,,"m9a4x2","etobicoke","on","p.o. box 246 etobicoke ontario m9a 4x2 canada","Toronto","3520005","35",43.6435559,-79.5656326
135,"aerospace museum",,"museum","calgary",,4629,"mccall wy ne",,"calgary","ab","4629 mccall wy ne","Calgary","4806016","48",51.09440686,-114.0136597
136,"africville heritage trust society","exhibition or cultural centre historic site-building or park human history-archaelogy-anthropology or ethnology","art or cultural centre","canadian museums association",,5795,"africville rd","b3k2r9","halifax","ns","5795 africville rd halifax nova scotia b3k 2r9 canada","Halifax","1209034","12",44.6738443,-63.61948353
137,"aga khan museum","museum","museum","toronto",,77,"wynford dr","m3c1k1","toronto","on","77 wynford dr","Toronto","3520005","35",43.7253857,-79.33233114
139,"agassiz harrison historical society museum","historical society","museum","canadian museums association",,7011,"pioneer street","v0m1a0","agassiz","bc","po box 313 7011 pioneer street agassiz british columbia v0m 1a0 canada","Kent","5909032","59",49.2392807,-121.7654037
140,"agassiz library","fraser valley regional library","library or archives","government of british columbia",,7140,"cheam ave","v0m1a0","north vancouver","bc","7140 cheam ave","Squawkum Creek 3","5909882","59",49.243554,-121.992562
141,"age of sail heritage centre","historical society natural history or natural sciences museum","museum","canadian museums association",,8334,"209 hwy","b0m1t0","wards brook","ns","8334 hwy 209 wards brook nova scotia b0m 1t0 canada","Cumberland, Subd. A","1211001","12",45.41471971,-64.55289505
142,"agincourt",,"library or archives","city of toronto",,155,"bonis ave","m1t3w6","toronto","on","155 bonis ave., toronto, on, m1t 3w6","Toronto","3520005","35",43.78516667,-79.29342963
143,"agnes benidickson house","quenn's u historic building","heritage or historic site","kingston",,55,"stuart st",,"kingston","on","55 stuart st","Kingston","3510010","35",44.22605665,-76.49222412
144,"agnes bugera gallery inc",,"gallery","edmonton",,12310,"jasper avenue nw",,"edmonton","ab","12310 jasper avenue nw","Edmonton","4811061","48",53.54136865,-113.5330197
148,"agnes etherington art centre","art gallery","art or cultural centre","canadian museums association",,99,"university ave","k7l3n6","kingston","on","queen's university 99 university ave kingston ontario k7l 3n6 canada","Kingston","3510010","35",44.2262622,-76.49519031
149,"agnes etherington art centre (gallery)","gallery","gallery","kingston",,36,"university ave",,"kingston","on","36 university ave","Kingston","3510010","35",44.22547268,-76.49603868
150,"agnes etherington art centre (museum)","museum","museum","kingston",,36,"university ave",,"kingston","on","36 university ave","Kingston","3510010","35",44.22547268,-76.49603868
151,"agnes jamieson gallery","art gallery exhibition or cultural centre","gallery","canadian museums association",,176,"bobcaygeon road","k0m2k0","minden","on","176 bobcaygeon road minden ontario k0m 2k0 canada","Minden Hills","3546015","35",44.92962774,-78.72756246
152,"ago art rental + sales gallery",,"gallery","toronto",,481,"university ave","m5g2h4","toronto","on","481 university ave","Toronto","3520005","35",43.65524442,-79.387749
153,"agora de la danse","auditorium / theatre","theatre/performance and concert hall","province of québec",,1435,"rue de-bleury","h3a2h7","montréal","qc","édifice wilder - espace danse 1435, rue de bleury","Montréal","2466023","24",45.506799,-73.567695
154,"agora des arts","auditorium / theatre","theatre/performance and concert hall","province of québec",100,37,"rue 7e","j9x1z6","rouyn-noranda","qc","37, 7e rue bureau 100","Rouyn-Noranda","2486042","24",48.246317,-79.016785
155,"agricultural museum of new brunswick inc.","agriculture museum","museum","canadian museums association",,28,"perry street","e4e2n7","sussex","nb","28 perry street sussex new brunswick e4e 2n7 canada","Sussex","1305022","13",45.7237354,-65.50125974
156,"agriculture museum","museum and art galleries","museum","ottawa",,,,,"ottawa","on",,"Ottawa","3506008","35",45.3887634,-75.70949324
157,"ahva gallery","museum/gallery","gallery","vancouver",,6398,"university blvd",,"vancouver","bc","6398 university blvd vancouver bc","Greater Vancouver A","5915020","59",49.2639124,-123.2549451
160,"ailsa craig library","libraries","library or archives","middlesex county",,147,"ailsa craig main street",,"middlesex","on","147ailsa craig main street","North Middlesex","3539041","35",43.14738384,-81.53657605
161,"aim electronic music festival","festival / special event","festival site","province of québec",,,,"j0v1x0","saint-andré-d'argenteuil","qc","rue du plein air","Saint-André-d'Argenteuil","2476008","24",45.570505,-74.376064
162,"air defence museum","museum / historic site","museum","province of québec",,6513,"ch des-aviateurs","g7b3n8","saguenay","qc","6513, ch. des aviateurs","Saguenay","2494068","24",48.339894,-70.990359
164,"air force heritage museum and air park","military museum or fort transportation museum","museum","canadian museums association",,,,"r3j3y5","winnipeg","mb","1 canadian air division headquarters cfb winnipeg building 66 winnipeg manitoba r3j 3y5 canada","Winnipeg","4611040","46",,
165,"airdrie public library",,"library or archives","government of alberta",111,304,"main street se","t4b3c3","airdrie","ab","111, 304 main street se","Airdrie","4806021","48",,
166,"ajax",,"library or archives","government of ontario",,55,"harwood avenue south","l1s2h8","ajax","on","55 harwood avenue south","Ajax","3518005","35",43.850732,-79.0208307
168,"ajax public library - mclean branch","library","library or archives","regional municipality of durham",,95,"magill dr","l1t3k7","ajax","on","95 magill dr","Ajax","3518005","35",43.8655872,-79.0369239
169,"ajax public library - village branch","library","library or archives","regional municipality of durham",,58,"church st n","l1t2w6","ajax","on","58 church st n","Ajax","3518005","35",43.85642643,-79.05655655
170,"aka artist-run","art gallery","gallery","canadian museums association",,424,"20th st w","s7m0x4","saskatoon","sk","424 20th st w saskatoon saskatchewan s7m 0x4 canada","Saskatoon","4711066","47",52.1262271,-106.6988265
171,"akasha art projects gallery",,"gallery","toronto",,511,"church st","m4y2c9","toronto","on","511 church st","Toronto","3520005","35",43.66619476,-79.38093789
172,"al green sculpture gallery",,"gallery","toronto",,64,"merton st","m4s1a1","toronto","on","64 merton st","Toronto","3520005","35",43.69698245,-79.39434284
173,"al green theatre, miles nadal jewish community centre",,"theatre/performance and concert hall","toronto",,750,"spadina ave","m5s2j2","toronto","on","750 spadina ave","Toronto","3520005","35",43.66621517,-79.4040655
174,"alameda branch library",,"library or archives","saskatchewan",,200,"5th street","s0c0a0","alameda","sk","200 5th street","Saskatoon","4711066","47",52.1118728,-106.6575214
175,"alban classical artists","charitable/non-profit/religious - charitable/non-profit/religious","artist","prince george",,212,"gillett st",,"prince george","bc",,"Prince George","5953023","59",53.9234734,-122.7750918
176,"alberni valley museum","community/regional museum natural history or natural sciences museum","museum","canadian museums association",,4255,"wallace st","v9y3y6","port alberni","bc","4255 wallace st port alberni british columbia v9y 3y6 canada","Port Alberni","5923008","59",49.2512699,-124.7965195
177,"albert branch",,"library or archives","saskatchewan",,1401,"robinson st","s4p3z5","regina","sk","1401 robinson st, regina sk s4t 2n7","Regina","4706027","47",50.4565452,-104.6235708
178,"albert campbell",,"library or archives","city of toronto",,496,"birchmount road","m1k1n8","toronto","on","496 birchmount road, toronto, on, m1k 1n8","Toronto","3520005","35",43.70801852,-79.26925185
