facility_name,index,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude
Kootenay Boundary Regional Hospital,1019,general,Hospitals,Public Health Agency of Canada,,1200,hospital bench,V1R 4M1,trail,bc,1200 hospital bench trail bc v1r 4m1,Trail,5905014,59,49.103275,-117.701449
Dr. Bryan Murray Professional Corporation,102,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T1J 2B9,lethbridge,ab,,Lethbridge,,48,,
Kootenay Columbia House,1021,,Nursing and residential care facilities,Province of British Columbia,,114,10 ave,V1N 1Y4,castlegar,bc,114 10 ave castlegar bc v1n 1y4,Castlegar,5903045,59,49.3279645,-117.6630835
Kootenay Lake Hospital,1022,general,Hospitals,Public Health Agency of Canada,,3,view st,V1L 2V1,nelson,bc,3 view st. nelson bc v1l 2v1,Nelson,5903015,59,49.4950249,-117.2848169
Kootenay Lake Medical Clinic,1023,,Ambulatory health care services,Province of British Columbia,,1140,lakeside drive,V1L 5Z3,nelson,bc,1140 lakeside drive nelson bc v1l 5z3,Nelson,5903015,59,49.49869,-117.2889
Kootenay Street Village,1024,,Nursing and residential care facilities,Province of British Columbia,,620,kootenay st n,V1C 3T9,cranbrook,bc,620 kootenay st n cranbrook bc v1c 3t9,Cranbrook,5901022,59,49.5183259,-115.758538
Kopernik Lodge,1025,,Nursing and residential care facilities,Province of British Columbia,,3150,rosemont dr,V5S 2C9,vancouver,bc,3150 rosemont dr vancouver bc v5s 2c9,Vancouver,5915022,59,49.21522,-123.039
Kwantlen Medical Clinic,1026,,Ambulatory health care services,Province of British Columbia,,12818,72 avenue,V3W 2M9,surrey,bc,12818 72nd avenue surrey bc v3w 2m9,Surrey,5915004,59,49.13365,-122.867417
LA ROSA DE MATSQUI,1027,,Nursing and residential care facilities,Province of British Columbia,,28711,huntingdon rd,V4X 1A8,abbotsford,bc,28711 huntingdon rd abbotsford bc v4x 1a8,Abbotsford,5909052,59,49.017373,-122.428874
Ladner 1,1028,,Nursing and residential care facilities,Province of British Columbia,,5281,westminster ave,V4K 2J4,delta,bc,5281 westminster ave delta bc v4k 2j4,Delta,5915011,59,49.099275,-123.0760699
Lady Minto Gulf Islands Hospital,1029,general,Hospitals,Public Health Agency of Canada,,135,crofton rd,V8K 1T1,salt spring island,bc,135 crofton rd. salt spring island bc v8k 1t1,Saltspring Island,5917027,59,48.8614452,-123.5085986
Dr. Cooke Extended Care Centre,103,,Nursing and residential care facilities,Saskatchewan Health Authorities,,3915,56 avenue,T9V 1N9,lloydminster,ab,"3915 – 56 avenue lloydminster, ab t9v 1n9",Lloydminster (Part),4810039,48,53.273049,-110.019164
Ladysmith Community Health Centre,1030,general,Hospitals,Public Health Agency of Canada,,1111,4 ave,V9G 1A1,ladysmith,bc,1111 4th ave. ladysmith bc v9g 1a1,Ladysmith,5919021,59,48.9957415,-123.8276344
Lake Country Family Practice,1031,,Ambulatory health care services,Province of British Columbia,,9966,pollard road,V4V 1V7,lake country,bc,9966 pollard road lake country bc v4v 1v7,Lake Country,5935016,59,50.025931,-119.405559
Lake Country Lodge,1032,,Nursing and residential care facilities,Province of British Columbia,,10163,konschuh road,V4V 2M2,lake country,bc,10163 konschuh road lake country bc v4v 2m2,Lake Country,5935016,59,50.0291435,-119.3984578
Lakes District Hospital and Health Centre,1034,general,Hospitals,Public Health Agency of Canada,,741,centre st,V0J 1E0,burns lake,bc,741 centre st. burns lake bc v0j 1e0,Burns Lake,5951022,59,54.2356268,-125.7612623
Lakes Road Home,1035,,Nursing and residential care facilities,Province of British Columbia,,6284,lakes rd,V9L 4S6,duncan,bc,6284 lakes rd duncan bc v9l 4s6,North Cowichan,5919008,59,48.798968,-123.69182
Lakeshore Medical Centre,1036,,Ambulatory health care services,Province of British Columbia,,2280,baron road,V1X 7W3,kelowna,bc,2280 baron road kelowna bc v1x 7w3,Kelowna,5935010,59,49.881024,-119.431768
Lakeside House,1037,,Nursing and residential care facilities,Province of British Columbia,,3597,gladstone st,V5N 4Y8,vancouver,bc,3597 gladstone st vancouver bc v5n 4y8,Vancouver,5915022,59,49.250461,-123.0604877
Lakeview Lodge,1038,,Nursing and residential care facilities,Province of British Columbia,,2337,butt road,V4T 3L3,west kelowna,bc,2337 butt road west kelowna bc v4t 3l3,Tsinstikeptum  9,5935802,59,49.8370173,-119.6237769
Lamton Home,1039,,Nursing and residential care facilities,Province of British Columbia,,650,middleton way,V1B 2V5,coldstream,bc,650 middleton way coldstream bc v1b 2v5,Coldstream,5937010,59,50.2318418,-119.2547159
Dr. w. r. Keir - Barrhead Continuing Care Centre,104,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T7N 1L2,barrhead,ab,,Barrhead,,48,,
Lands End Home,1040,,Nursing and residential care facilities,Province of British Columbia,,1995,lands end rd,V8L 5J2,north saanich,bc,1995 lands end rd north saanich bc v8l 5j2,North Saanich,5917005,59,48.68585,-123.41694
Langley Gardens,1041,,Nursing and residential care facilities,Province of British Columbia,,8888,202 st,V1M 4A7,langley,bc,8888 202nd st langley bc v1m 4a7,Langley,5915001,59,49.1663494,-122.6609691
Langley Lodge,1042,,Nursing and residential care facilities,Province of British Columbia,,5451,204 st,V3A 5M9,langley,bc,5451 204th st langley bc v3a 5m9,Langley,5915002,59,49.1015673,-122.6573035
Langley Memorial Hospital,1043,extended care,Hospitals,Public Health Agency of Canada,,22051,fraser hwy,V3A 4H4,langley,bc,22051 fraser hwy. langley bc v3a 4h4,Langley,5915001,59,49.0952999,-122.612079
Langton Road,1045,,Nursing and residential care facilities,Province of British Columbia,,7611,langton rd,V7C 4B4,richmond,bc,7611 langton rd richmond bc v7c 4b4,Richmond,5915015,59,49.1570209,-123.1606944
Lannan Road Residence,1046,,Nursing and residential care facilities,Province of British Columbia,,2046,lannan rd,V9M 3Z6,comox,bc,2046 lannan rd comox bc v9m 3z6,Comox Valley B (Lazo North),5926022,59,49.7086633,-124.9362404
Lansdowne Treatment Centre,1047,,Ambulatory health care services,Province of British Columbia,,120-1641,hillside avenue,V8T 5G1,victoria,bc,120-1641 hillside avenue victoria bc v8t 5g1,Victoria,5917034,59,48.445104,-123.334011
Larkin House,1048,,Nursing and residential care facilities,Province of British Columbia,,2583,larkin ave,V3B 2H8,port coquitlam,bc,2583 larkin ave port coquitlam bc v3b 2h8,Port Coquitlam,5915039,59,49.277786,-122.7851203
Larkspur House,1049,,Nursing and residential care facilities,Province of British Columbia,,1310,larkspur ave,V3B 1G7,port coquitlam,bc,1310 larkspur ave port coquitlam bc v3b 1g7,Port Coquitlam,5915039,59,49.2660077,-122.7510197
Last Door Recovery Centre,1050,,Nursing and residential care facilities,Province of British Columbia,,323,8 st,V3M 3R3,new westminster,bc,323 8th st new westminster bc v3m 3r3,New Westminster,5915029,59,49.2078235,-122.9191564
Laurel Place Care Centre,1052,,Nursing and residential care facilities,Province of British Columbia,,9688,137a st,V3T 4H9,surrey,bc,9688 137a st surrey bc v3t 4h9,Surrey,5915004,59,49.1784188,-122.8417804
Leaside Place,1054,,Nursing and residential care facilities,Province of British Columbia,,1807,e 64 ave,V5P 2M9,vancouver,bc,1807 e 64th ave vancouver bc v5p 2m9,Vancouver,5915022,59,49.2121813,-123.068935
Leonard Place,1055,,Nursing and residential care facilities,Province of British Columbia,,4761,leonard pl,V2M 6Z5,prince george,bc,4761 leonard pl prince george bc v2m 6z5,Prince George,5953023,59,53.938608,-122.81031
Lillooet District Hospital and Health Centre,1056,general,Hospitals,Public Health Agency of Canada,,951,murray st,V0K 1V0,lillooet,bc,951 murray st. lillooet bc v0k 1v0,Lillooet,5931026,59,50.690014,-121.9387906
Lindsay Home,1058,,Nursing and residential care facilities,Province of British Columbia,,754,lindsay st,V8Z 3E1,victoria,bc,754 lindsay st victoria bc v8z 3e1,Saanich,5917021,59,48.4911471,-123.3952548
Lions Gate Hospital,1059,general,Hospitals,Public Health Agency of Canada,,231,east 15 st,V7L 2L7,north vancouver,bc,231 east 15th st. north vancouver bc v7l 2l7,North Vancouver,5915051,59,49.3218642,-123.0683701
Drayton Valley Hospital & Care Centre,106,general,Hospitals,Public Health Agency of Canada,,4550,madsen ave,T7A 1N8,drayton valley,ab,4550 madsen ave. drayton valley ab t7a 1n8,Drayton Valley,4811031,48,53.211841,-114.969193
Lisgar Residence,1060,,Nursing and residential care facilities,Province of British Columbia,,2471,lisgar cres,V2N 1C4,prince george,bc,2471 lisgar cres prince george bc v2n 1c4,Prince George,5953023,59,53.897987,-122.79234
"Little Mountain Manor, Inc.",1061,,Nursing and residential care facilities,Province of British Columbia,,959,little mountain rd,V9P 2C3,parksville,bc,959 little mountain rd parksville bc v9p 2c3,Nanaimo F,5921032,59,49.298621,-124.33023
Little Mountain Place,1062,,Nursing and residential care facilities,Province of British Columbia,,330,e 36 ave,V5W 3Z4,vancouver,bc,330 e 36th ave vancouver bc v5w 3z4,Vancouver,5915022,59,49.2376636,-123.0998532
Little Mountain Residential Care and Housing Society — Adanac Park Lodge,1063,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V5K 4T2,vancouver,bc,,Vancouver,,59,,
Live Well Medical Centre,1065,,Ambulatory health care services,Province of British Columbia,,160-8980,no 3 road,V6Y 2E8,richmond,bc,160-8980 no. 3 road richmond bc v6y 2e8,Richmond,5915015,59,49.148846,-123.136661
Lonsdale Medical Clinics,1066,,Ambulatory health care services,Province of British Columbia,,108-1940,lonsdale avenue n,V7M 2K2,vancouver,bc,108-1940 lonsdale avenue north vancouver bc v7m 2k2,North Vancouver,5915051,59,49.327193,-123.071945
Loraine Avenue,1067,,Nursing and residential care facilities,Province of British Columbia,,3908,loraine ave,V7R 4B8,north vancouver,bc,3908 loraine ave north vancouver bc v7r 4b8,North Vancouver,5915046,59,49.3445873,-123.1065884
Louis Brier Home,1068,,Nursing and residential care facilities,Province of British Columbia,,1055,w 41 ave,V6M 1W9,vancouver,bc,1055 w 41st ave vancouver bc v6m 1w9,Vancouver,5915022,59,49.23448,-123.129
Loyal Medical Clinic,1071,,Ambulatory health care services,Province of British Columbia,,112-1055,west georgia street,V6E 3P1,vancouver,bc,112-1055 west georgia street vancouver bc v6e 3p1,Vancouver,5915022,59,49.285409,-123.12195
Lucas Home,1072,,Nursing and residential care facilities,Province of British Columbia,,909,lucas ave,V8X 4M7,victoria,bc,909 lucas ave victoria bc v8x 4m7,Saanich,5917021,59,48.477997,-123.373936
Luther Court,1073,,Nursing and residential care facilities,Province of British Columbia,,1525,cedar hill x rd,V8P 5M1,victoria,bc,1525 cedar hill x rd victoria bc v8p 5m1,Saanich,5917021,59,48.4619202,-123.3364271
Luxton Home,1074,,Nursing and residential care facilities,Province of British Columbia,,3522,luxton rd,V9C 0K6,victoria,bc,3522 luxton rd victoria bc v9c 0k6,Langford,5917044,59,48.419041,-123.5341518
Lynn Valley Care Centre,1075,,Nursing and residential care facilities,Province of British Columbia,,1070,lynn valley road,V7J 1Z8,north vancouver,bc,1070 lynn valley road north vancouver bc v7j 1z8,North Vancouver,5915046,59,49.33396,-123.045
Lynn Valley House,1076,,Nursing and residential care facilities,Province of British Columbia,,1525/1527,lynn valley road,V7J 2B1,north vancouver,bc,1525/1527 lynn valley road north vancouver bc v7j 2b1,North Vancouver,5915046,59,49.340396,-123.0310686
Lynn Valley Medical and Travel Clinic,1078,,Ambulatory health care services,Province of British Columbia,,102-1200,lynn valley road,V7J 2A2,north vancouver,bc,102-1200 lynn valley road north vancouver bc v7j 2a2,North Vancouver,5915046,59,49.33592,-123.0412
Lynndale Lodge,1079,,Nursing and residential care facilities,Province of British Columbia,,4820,10 ave sw,V1E 3B5,salmon arm,bc,4820 10 ave sw salmon arm bc v1e 3b5,Salmon Arm,5939032,59,50.6919774,-119.340954
Drumheller Health Centre,108,general,Hospitals,Public Health Agency of Canada,,351,9 st nw,T0J 0Y1,drumheller,ab,351 - 9th st. n.w. drumheller ab t0j 0y1,Drumheller,4805026,48,51.4698073,-112.7259344
m.s.a. Manor,1080,,Nursing and residential care facilities,Province of British Columbia,,2510,gladwin rd,V2T 3N9,abbotsford,bc,2510 gladwin rd abbotsford bc v2t 3n9,Abbotsford,5909052,59,49.0475442,-122.3144389
Mackenzie and District Hospital and Health Centre,1081,general,Hospitals,Public Health Agency of Canada,,45,centennial dr,V0J 2C0,mackenzie,bc,45 centennial dr. mackenzie bc v0j 2c0,Mackenzie,5953033,59,55.3375782,-123.100648
Maginnis Avenue,1082,,Nursing and residential care facilities,Province of British Columbia,,3660,maginnis avenue n,V7K 2L6,vancouver,bc,3660 maginnis avenue north vancouver bc v7k 2l6,North Vancouver,5915046,59,49.3426871,-123.034142
Magnolia Gardens,1083,,Nursing and residential care facilities,Province of British Columbia,,5840,glover rd,V3A 9K3,langley,bc,5840 glover rd langley bc v3a 9k3,Langley,5915002,59,49.1082447,-122.6494693
Magnolia House,1084,,Nursing and residential care facilities,Province of British Columbia,,720,e 17 st,V7L 2W8,north vancouver,bc,720 e 17th st north vancouver bc v7l 2w8,North Vancouver,5915051,59,49.3242484,-123.0538386
Main Street Home,1085,,Nursing and residential care facilities,Province of British Columbia,,5760,main street,V0H 1T0,oliver,bc,5760 main street oliver bc v0h 1t0,Oliver,5907014,59,49.173073,-119.5552406
Mainwaring,1086,,Nursing and residential care facilities,Province of British Columbia,,8950,mainwaring rd,V8L 1J7,north saanich,bc,8950 mainwaring rd north saanich bc v8l 1j7,North Saanich,5917005,59,48.6249709,-123.4154788
Malaspina Residence,1087,,Nursing and residential care facilities,Province of British Columbia,,2028,cedar cres,V9N 3B6,courtenay,bc,2028 cedar cres courtenay bc v9n 3b6,Courtenay,5926010,59,49.6786877,-124.9927014
Manchenda Medical Clinic,1088,,Ambulatory health care services,Province of British Columbia,,7550,king george boulevard,V3W 2T2,surrey,bc,7550 king george boulevard surrey bc v3w 2t2,Surrey,5915004,59,49.13988,-122.8432
Mango Medical Clinic,1089,,Ambulatory health care services,Province of British Columbia,,4392,beresford street,V5H 0E7,burnaby,bc,4392 beresford street burnaby bc v5h 0e7,Burnaby,5915025,59,49.226057,-123.005725
East Edmonton Health Centre,109,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5B 0C2,edmonton,ab,,Edmonton,,48,,
Manning House,1090,,Nursing and residential care facilities,Province of British Columbia,,1560,manning ave,V3B 1K5,port coquitlam,bc,1560 manning ave port coquitlam bc v3b 1k5,Port Coquitlam,5915039,59,49.2680766,-122.7578008
Manoah Manor,1091,,Nursing and residential care facilities,Province of British Columbia,,20265,54a ave,V3A 3W6,langley city,bc,20265 54a ave langley city bc v3a 3w6,Langley,5915002,59,49.101831,-122.6608587
Manuel House,1092,,Nursing and residential care facilities,Province of British Columbia,,1709,232 st,V2Z 1K7,langley,bc,1709 232nd st langley bc v2z 1k7,Langley,5915001,59,49.032664,-122.58322
Maple Medical Clinic,1093,,Ambulatory health care services,Province of British Columbia,,103-2025,west broadway,V6J 1Z6,vancouver,bc,103-2025 west broadway vancouver bc v6j 1z6,Vancouver,5915022,59,49.263854,-123.151159
Maple Ridge House,1094,,Nursing and residential care facilities,Province of British Columbia,,12210,232a st,V2X 0R2,maple ridge,bc,12210 232a st maple ridge bc v2x 0r2,Maple Ridge,5915075,59,49.2245369,-122.5783552
Maple Ridge Seniors Village,1095,,Nursing and residential care facilities,Province of British Columbia,,22141,119 ave,V2X 2Y7,maple ridge,bc,22141 119th ave maple ridge bc v2x 2y7,Maple Ridge,5915075,59,49.2193789,-122.6084592
Maple Ridge Treatment Centre,1096,,Nursing and residential care facilities,Province of British Columbia,,22269,callaghan ave,V2X 2E2,maple ridge,bc,22269 callaghan ave maple ridge bc v2x 2e2,Maple Ridge,5915075,59,49.2137785,-122.6051618
Maple Street Residence,1097,,Nursing and residential care facilities,Province of British Columbia,,5537,maple st,V9Y 8H4,port alberni,bc,5537 maple st port alberni bc v9y 8h4,Alberni-Clayoquot E,5923037,59,49.2711362,-124.8084067
Maplewood House,1098,,Nursing and residential care facilities,Province of British Columbia,,1919,jackson st,V2S 2Z8,abbotsford,bc,1919 jackson st abbotsford bc v2s 2z8,Abbotsford,5909052,59,49.0366072,-122.3091484
Alberta Hip and Knee Clinic,11,other,Hospitals,Canadian Institute for Health Information,,,,T5E 5R8,edmonton,ab,,Edmonton,,48,,
Edmonton Chinatown Care Centre,110,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5H 0G2,edmonton,ab,,Edmonton,,48,,
Marchmont House,1101,,Nursing and residential care facilities,Province of British Columbia,,739,marchmont rd,V9L 2L9,duncan,bc,739 marchmont rd duncan bc v9l 2l9,Duncan,5919012,59,48.7770977,-123.6935153
Marchmont Place,1102,,Nursing and residential care facilities,Province of British Columbia,,6124,ryall rd,V9L 2H7,duncan,bc,6124 ryall rd duncan bc v9l 2h7,North Cowichan,5919008,59,48.793073,-123.72443
Marin Park,1103,,Nursing and residential care facilities,Province of British Columbia,,1166,marin park dr,V8M 1E8,brentwood bay,bc,1166 marin park dr brentwood bay bc v8m 1e8,Central Saanich,5917015,59,48.5714564,-123.4513407
Marine Gateway Medical Clinic,1104,,Ambulatory health care services,Province of British Columbia,,301-470,sw marine drive,V5X 0C4,vancouver,bc,301-470 sw marine drive vancouver bc v5x 0c4,Vancouver,5915022,59,49.210379,-123.11683
Mariposa,1105,,Nursing and residential care facilities,Province of British Columbia,,4133,mariposa heights,V8Z 6P5,victoria,bc,4133 mariposa heights victoria bc v8z 6p5,Saanich,5917021,59,48.478199,-123.41418
Mariposa Court,1106,,Nursing and residential care facilities,Province of British Columbia,,3419,mariposa court,V1X 2S9,kelowna,bc,3419 mariposa court kelowna bc v1x 2s9,Kelowna,5935010,59,49.8590963,-119.4391121
Mariposa Gardens,1107,,Nursing and residential care facilities,Province of British Columbia,,8816,97 st,V0H 1V5,osoyoos,bc,8816 97 st osoyoos bc v0h 1v5,Osoyoos,5907005,59,49.034727,-119.4770583
Marjorie Willoughby Snowden Memorial Hospice Home,1108,,Nursing and residential care facilities,Province of British Columbia,,72,whiteshield crescent s,V2E 2S9,kamloops,bc,72 whiteshield crescent s kamloops bc v2e 2s9,Kamloops,5933042,59,50.6588194,-120.3374527
Mary Basil House,1109,,Nursing and residential care facilities,Province of British Columbia,,2001,industrial rd,V1C 6H3,cranbrook,bc,2001 industrial rd cranbrook bc v1c 6h3,Cranbrook,5901022,59,49.5249786,-115.7686075
Edson Healthcare Centre,111,general,Hospitals,Public Health Agency of Canada,,4716,5 ave,T7E 1S8,edson,ab,4716 - 5th ave. edson ab t7e 1s8,Edson,4814024,48,53.59182,-116.407
Maryland House,1110,,Nursing and residential care facilities,Province of British Columbia,,9496,maryland dr,V8L 2R6,sidney,bc,9496 maryland dr sidney bc v8l 2r6,Sidney,5917010,59,48.6401829,-123.4063757
Masset Hospital,1111,general,Hospitals,Public Health Agency of Canada,,1760,hodges,V0T 1M0,masset,bc,1760 hodges masset bc v0t 1m0,Masset,5947023,59,54.0204495,-132.157076
Matters of Health Medical Clinic,1113,,Ambulatory health care services,Province of British Columbia,,5591,west boulevard,V6M 3W6,vancouver,bc,5591 west boulevard vancouver bc v6m 3w6,Vancouver,5915022,59,49.235586,-123.155556
Maxey Road Home,1114,,Nursing and residential care facilities,Province of British Columbia,,2278,maxey rd,V9S 5V5,nanaimo,bc,2278 maxey rd nanaimo bc v9s 5v5,Nanaimo C,5921016,59,49.185127,-124.00326
May's Place,1115,,Nursing and residential care facilities,Province of British Columbia,,333,powell st,V6A 1G5,vancouver,bc,333 powell st vancouver bc v6a 1g5,Vancouver,5915022,59,49.28324,-123.097
Mayfair (the),1116,,Nursing and residential care facilities,Province of British Columbia,,33433,marshall rd,V2S 1K8,abbotsford,bc,33433 marshall rd abbotsford bc v2s 1k8,Abbotsford,5909052,59,49.039494,-122.2976893
Mcarthur Home,1117,,Nursing and residential care facilities,Province of British Columbia,,794-796,mcarthur drive,V2B 8L9,kamloops,bc,794-796 mcarthur drive kamloops bc v2b 8l9,Kamloops,5933042,59,50.7625069,-120.3482057
Mcbride and District Hospital,1118,general,Hospitals,Public Health Agency of Canada,,594,king st,V0J 2E0,mcbride,bc,594 king st. mcbride bc v0j 2e0,McBride,5953012,59,53.3016398,-120.1608281
Mcbride Place,1119,,Nursing and residential care facilities,Province of British Columbia,,878,mcbride street,V2B 5S3,kamloops,bc,878 mcbride street kamloops bc v2b 5s3,Kamloops,5933042,59,50.7029457,-120.4107315
Elk Point Healthcare Centre,112,general,Hospitals,Public Health Agency of Canada,,5310,50 ave,T0A 1A0,elk point,ab,5310 - 50 ave. elk point ab t0a 1a0,Elk Point,4812016,48,53.8969745,-110.9058049
Mccauley Lodge,1120,,Nursing and residential care facilities,Province of British Columbia,,1037,lyall st,V9A 5G1,victoria,bc,1037 lyall st victoria bc v9a 5g1,Esquimalt,5917040,59,48.426921,-123.4064
Mcculloch Residence,1121,,Nursing and residential care facilities,Province of British Columbia,,5500,mcculloch rd,V1W 4G1,kelowna,bc,5500 mcculloch rd kelowna bc v1w 4g1,Kelowna,5935010,59,49.8396118,-119.3486466
Mckenzie Home,1122,,Nursing and residential care facilities,Province of British Columbia,,1112,mckenzie st,V8V 2W2,victoria,bc,1112 mckenzie st victoria bc v8v 2w2,Victoria,5917034,59,48.4151589,-123.3554095
Mckim Cottage,1123,psychiatric,Nursing and residential care facilities,Public Health Agency of Canada,,916,eleventh st,V1L 7A6,nelson,bc,916 eleventh st. nelson bc v1l 7a6,Nelson,5903015,59,49.508589,-117.267255
Mckinney Place,1124,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V0H 1T0,oliver,bc,,Oliver,,59,,
Mcqueen House,1125,,Nursing and residential care facilities,Province of British Columbia,,2831,muir rd,V9N 6A2,courtenay,bc,2831 muir rd courtenay bc v9n 6a2,Courtenay,5926010,59,49.7107401,-124.9852203
Md Medical Centre,1126,,Ambulatory health care services,Province of British Columbia,,3020,louie drive,V4T 3E1,west kelowna,bc,3020 louie drive west kelowna bc v4t 3e1,Tsinstikeptum  9,5935802,59,49.83547,-119.6209
Meadowbrook,1127,,Nursing and residential care facilities,Province of British Columbia,,12412,meadowbrook pl,V4R 2H6,maple ridge,bc,12412 meadowbrook pl maple ridge bc v4r 2h6,Maple Ridge,5915075,59,49.2279307,-122.635215
Medi-Kel,1128,,Ambulatory health care services,Province of British Columbia,,1715,ellis street,V1Y 8M9,kelowna,bc,1715 ellis street kelowna bc v1y 8m9,Kelowna,5935010,59,49.883419,-119.493432
Medical Arts Centre,1129,,Ambulatory health care services,Province of British Columbia,,103-650,south terminal avenue,V9R 5E2,nanaimo,bc,103-650 south terminal avenue nanaimo bc v9r 5e2,Nanaimo,5921007,59,49.16431,-123.9333
Extendicare — Athabasca,113,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T9S 1K4,athabasca,ab,,Athabasca,,48,,
Medusa Street Residence,1130,,Nursing and residential care facilities,Province of British Columbia,,5832,medusa street,V0N 3A3,sechelt,bc,5832 medusa street sechelt bc v0n 3a3,Sechelt,5929011,59,49.4749989,-123.7650971
Mega Fu Medical,1131,,Ambulatory health care services,Province of British Columbia,,9251,alderbridge way,V6X 0N1,richmond,bc,9251 alderbridge way richmond bc v6x 0n1,Richmond,5915015,59,49.178089,-123.119861
Melody House,1132,,Nursing and residential care facilities,Province of British Columbia,,1730,macdonald st,V6K 3X8,vancouver,bc,1730 macdonald st vancouver bc v6k 3x8,Vancouver,5915022,59,49.270557,-123.1681564
Menno Extended Care Hospital,1133,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,32945,marshall rd,V2S 1K1,abbotsford,bc,32945 marshall rd. abbotsford bc v2s 1k1,Abbotsford,5909052,59,49.0384349,-122.3117414
